"x","nearbycrash","Latitude","Longitude"
3625,3,51.546931,0.048671
3626,2,51.490779,-0.207093
3630,2,51.52418,-0.128945
3631,2,51.430712,0.081016
3634,2,51.537396,-0.140083
3636,2,51.588131,-0.063233
3643,2,51.50399,-0.224298
3645,2,51.414885,0.070805
3646,4,51.527635,-0.021685
3649,2,51.511469,-0.38066
3657,3,51.486884,-0.320604
3665,2,51.520569,-0.116841
3666,3,51.529675,-0.014676
3672,2,51.434692,-0.128288
3674,3,51.529568,-0.013672
3679,3,51.48971,-0.127188
3682,2,51.440094,-0.10634
3683,3,51.497578,-0.079897
3685,4,51.527076,-0.058184
3688,4,51.615592,-0.109443
3691,3,51.494138,-0.095024
3692,4,51.511736,-0.132482
3693,4,51.508504,-0.127138
3694,2,51.612976,-0.064775
3707,2,51.854801,-0.421073
3712,2,51.808698,-0.051179
3730,2,51.68393,-0.183125
3736,3,51.702358,-0.379352
3739,2,51.683974,-0.186016
3773,2,51.921309,0.935277
3782,3,51.53114,-0.550809
3783,2,51.574818,-0.527196
3788,3,51.531501,-0.550941
3789,2,51.583431,-0.540052
3804,2,51.663416,-0.94783
3813,2,51.479622,-0.626176
3826,2,51.371997,-1.297455
3850,2,51.214635,-1.530935
3863,2,51.257517,-0.002347
3867,2,51.418833,-0.544153
3881,2,51.430055,0.205431
3889,2,51.157535,0.304391
3955,2,51.516043,-0.081715
3957,3,51.512644,-0.088343
3958,2,51.424001,-0.163104
3959,2,51.441965,-0.387724
3966,2,51.524778,-0.138291
3976,2,51.536109,-0.076978
3980,3,51.557439,-0.167974
3981,3,51.50312,0.227114
3987,2,51.463132,-0.169595
3990,2,51.605586,-0.085741
4000,3,51.518693,-0.197781
4005,2,51.498628,-0.105787
4012,2,51.589611,-0.060283
4020,2,51.511759,-0.382091
4022,5,51.51995,-0.17438
4029,4,51.52123,-0.158473
4035,2,51.435945,-0.127949
4036,2,51.54167,-0.341084
4040,2,51.372533,-0.012575
4048,3,51.520715,-0.200584
4049,2,51.488576,-0.192487
4051,5,51.556092,-0.214768
4052,2,51.496006,-0.104887
4055,2,51.550973,-0.449213
4061,2,51.52732,-0.056588
4062,2,51.527611,-0.129814
4067,3,51.516389,-0.119752
4069,4,51.509778,-0.002715
4077,2,51.477319,-0.117183
